"","term","estimate","std.error.x","statistic.x","p.value.x","std.error.y","statistic.y","p.value.y"
"1","(Intercept)",16.5382716726413,4.68549357288515,3.52967545795983,0.000436133799306572,4.68549357288515,3.52967545795983,0.000436133799306572
"2","OverallQual",0.0313898480788193,0.0222247053659,1.41238534153896,0.158165755173099,0.0222247053659,1.41238534153896,0.158165755173099
"3","GrLivArea",0.000341654987580842,3.72868493873747e-05,9.16288163774241,3.06775074878343e-19,3.72868493873747e-05,9.16288163774241,3.06775074878343e-19
"4","NeighborhoodBlueste",-0.0655204649788549,0.0794896711004031,-0.824263883242091,0.409997624355404,0.0794896711004031,-0.824263883242091,0.409997624355404
"5","NeighborhoodBrDale",-0.0301285917202138,0.049866693437909,-0.604182664682352,0.545867220737093,0.049866693437909,-0.604182664682352,0.545867220737093
"6","NeighborhoodBrkSide",0.110644670269192,0.041814332454334,2.64609438378644,0.00827802988806489,0.041814332454334,2.64609438378644,0.00827802988806489
"7","NeighborhoodClearCr",0.0761913421839229,0.0444388698634345,1.71452024810863,0.0867610973357626,0.0444388698634345,1.71452024810863,0.0867610973357626
"8","NeighborhoodCollgCr",0.009629265732177,0.0336769591691075,0.285930379991377,0.774994109605128,0.0336769591691075,0.285930379991377,0.774994109605128
"9","NeighborhoodCrawfor",0.155076631435281,0.0401302400583719,3.86433351033317,0.000118998737962052,0.0401302400583719,3.86433351033317,0.000118998737962052
"10","NeighborhoodEdwards",-0.0140601931476524,0.0371031331359462,-0.378948944719459,0.704810902212247,0.0371031331359462,-0.378948944719459,0.704810902212247
"11","NeighborhoodGilbert",-0.0144690341580298,0.0344018187384187,-0.420589221402742,0.674150689463404,0.0344018187384187,-0.420589221402742,0.674150689463404
"12","NeighborhoodIDOTRR",0.102679784929569,0.047366899950461,2.16775395976848,0.0304264668613881,0.047366899950461,2.16775395976848,0.0304264668613881
"13","NeighborhoodMeadowV",-0.136209277462773,0.0491083089904721,-2.77365033052146,0.00565229916414415,0.0491083089904721,-2.77365033052146,0.00565229916414415
"14","NeighborhoodMitchel",-0.0163891917710107,0.03732129067517,-0.439137861379335,0.660662036391325,0.03732129067517,-0.439137861379335,0.660662036391325
"15","NeighborhoodNAmes",0.00345021750926641,0.0358854048010728,0.0961454253725813,0.92342545902495,0.0358854048010728,0.0961454253725813,0.92342545902495
"16","NeighborhoodNoRidge",0.0409903692156744,0.0398756130347866,1.02795583806863,0.304233638940095,0.0398756130347866,1.02795583806863,0.304233638940095
"17","NeighborhoodNPkVill",-0.0141178763429001,0.0521797454925296,-0.270562384113607,0.786786710221394,0.0521797454925296,-0.270562384113607,0.786786710221394
"18","NeighborhoodNridgHt",0.0643165936482323,0.0347527429219251,1.85069114667366,0.0645259146979888,0.0347527429219251,1.85069114667366,0.0645259146979888
"19","NeighborhoodNWAmes",-0.0163005959725047,0.0365177681994618,-0.446374375440199,0.655429103442219,0.0365177681994618,-0.446374375440199,0.655429103442219
"20","NeighborhoodOldTown",0.0364097063341329,0.0434464302966796,0.838036775069999,0.402221956569365,0.0434464302966796,0.838036775069999,0.402221956569365
"21","NeighborhoodSawyer",-0.0161910943098017,0.0370449010158819,-0.437066745106439,0.662162798520636,0.0370449010158819,-0.437066745106439,0.662162798520636
"22","NeighborhoodSawyerW",-0.0232413375051367,0.0364743045231952,-0.637197550685489,0.524150508549862,0.0364743045231952,-0.637197550685489,0.524150508549862
"23","NeighborhoodSomerst",0.03236000039922,0.0424870127231229,0.761644519705396,0.446462227549952,0.0424870127231229,0.761644519705396,0.446462227549952
"24","NeighborhoodStoneBr",0.128419341789351,0.0399242904877258,3.21657167154498,0.00134140239554902,0.0399242904877258,3.21657167154498,0.00134140239554902
"25","NeighborhoodSWISU",0.0473920309199354,0.0478154034418328,0.991145687552079,0.321868156468659,0.0478154034418328,0.991145687552079,0.321868156468659
"26","NeighborhoodTimber",0.0192006514126109,0.0374281509401037,0.513000266653241,0.608071031330271,0.0374281509401037,0.513000266653241,0.608071031330271
"27","NeighborhoodVeenker",0.0347499005295103,0.0483815829752269,0.718246456452313,0.472782869632531,0.0483815829752269,0.718246456452313,0.472782869632531
"28","GarageCars",0.0993652791335511,0.0195989759176383,5.06992199751245,4.7880740025748e-07,0.0195989759176383,5.06992199751245,4.7880740025748e-07
"29","OverallCond",0.815481622100758,0.234629816039085,3.47560951914531,0.000532873252237239,0.234629816039085,3.47560951914531,0.000532873252237239
"30","YearBuilt",-0.00773454357339319,0.00222695929548522,-3.47314097256903,0.000537735824314982,0.00222695929548522,-3.47314097256903,0.000537735824314982
"31","BsmtFullBath",0.0828294338625664,0.0249035458773493,3.32600964820447,0.000914921723629204,0.0249035458773493,3.32600964820447,0.000914921723629204
"32","TotalBsmtSF",0.000130178190901263,4.35946854081149e-05,2.98610231230229,0.00289845845541571,4.35946854081149e-05,2.98610231230229,0.00289845845541571
"33","BsmtUnfSF",7.25801237093658e-06,3.76758498190496e-05,0.192643627304905,0.847279466643868,3.76758498190496e-05,0.192643627304905,0.847279466643868
"34","MSZoningFV",-17.6986746069875,10.8046630204445,-1.63805891710813,0.101742296227365,10.8046630204445,-1.63805891710813,0.101742296227365
